timestamp,arima_forecast,prophet_forecast,solar_generation_ensemble
2019-12-31 00:00:00,-1.6967198010586687e-49,9.580999620463004,4.790499810231502
2019-12-31 01:00:00,6.074802198591686e-50,-3.4176988510381436,-1.7088494255190718
2019-12-31 02:00:00,7.541178488813824e-67,-3.8704808079481667,-1.9352404039740834
2019-12-31 03:00:00,-2.699984201062139e-67,-1.3121464297800527,-0.6560732148900263
2019-12-31 04:00:00,1.7635778510150286e-83,5.564184864848034,2.782092432424017
2019-12-31 05:00:00,-6.314175795693068e-84,-1.3796104889766445,-0.6898052444883223
2019-12-31 06:00:00,-9.783320439076257e-100,0.3258349619619416,0.1629174809809708
2019-12-31 07:00:00,-1.489324468771551e-101,23.766949994369465,11.883474997184733
2019-12-31 08:00:00,28.292612952818576,38.619255006587395,33.45593397970298
2019-12-31 09:00:00,46.060885185440696,58.04967726230477,52.05528122387273
2019-12-31 10:00:00,65.73179763109327,69.5463346343381,67.63906613271568
2019-12-31 11:00:00,86.84614423710875,60.94154269282129,73.89384346496502
2019-12-31 12:00:00,66.5781767097091,77.35840433422769,71.96829052196838
2019-12-31 13:00:00,85.2761511491807,63.14435462813539,74.21025288865805
2019-12-31 14:00:00,65.15905526426153,64.22999816093348,64.69452671259751
2019-12-31 15:00:00,59.66881641407154,50.33121292720721,55.00001467063937
2019-12-31 16:00:00,58.64824013712914,44.05869952241325,51.3534698297712
2019-12-31 17:00:00,25.55455680501928,20.483927035799727,23.019241920409506
2019-12-31 18:00:00,6.4163701351113165,-0.2247142226381813,3.0958279562365676
2019-12-31 19:00:00,-9.890088157201063,-2.57703912308168,-6.233563640141371
2019-12-31 20:00:00,-6.352566696180233e-15,4.099871118738462,2.049935559369228
2019-12-31 21:00:00,1.462240855339826e-16,-3.431079291934048,-1.715539645967024
2019-12-31 22:00:00,2.3892487402987717e-31,-3.0351609690380403,-1.5175804845190202
2019-12-31 23:00:00,3.0612971507418355e-33,5.138284216072446,2.569142108036223
