timestamp,arima_forecast,prophet_forecast,wind_generation_ensemble
2019-12-31 00:00:00,81.70841509129991,53.301102293666204,67.50475869248305
2019-12-31 01:00:00,93.36461166276315,53.078157521303105,73.22138459203313
2019-12-31 02:00:00,71.1791367023966,51.980517833715496,61.57982726805605
2019-12-31 03:00:00,54.392419592620435,52.39038489481094,53.39140224371569
2019-12-31 04:00:00,50.25968185404726,52.096895813641325,51.17828883384429
2019-12-31 05:00:00,45.14841753342909,51.62117221673733,48.38479487508321
2019-12-31 06:00:00,46.3040327481012,52.39711308475143,49.350572916426316
2019-12-31 07:00:00,71.28937964025148,52.29471062589621,61.79204513307384
2019-12-31 08:00:00,71.83753385504022,51.30158918204344,61.56956151854183
2019-12-31 09:00:00,77.1423383165477,51.26140702701044,64.20187267177907
2019-12-31 10:00:00,57.511338441789825,50.48776508198862,53.99955176188922
2019-12-31 11:00:00,50.525358378700744,50.4524963446266,50.48892736166367
2019-12-31 12:00:00,50.6508711973439,51.8099613131271,51.2304162552355
2019-12-31 13:00:00,46.1960310532997,51.94866177676607,49.07234641503288
2019-12-31 14:00:00,46.114151622200154,52.12950811090653,49.12182986655334
2019-12-31 15:00:00,40.91956251462687,52.16807162632345,46.54381707047516
2019-12-31 16:00:00,28.792430612823196,52.232787506291714,40.512609059557455
2019-12-31 17:00:00,22.953205039927322,52.5816698609278,37.767437450427565
2019-12-31 18:00:00,45.95593995856364,52.93912504112944,49.44753249984654
2019-12-31 19:00:00,63.135031131500874,52.69890440905302,57.91696777027695
2019-12-31 20:00:00,51.29899685397681,53.51414157512127,52.40656921454904
2019-12-31 21:00:00,33.918254835464886,53.18495658843243,43.55160571194865
2019-12-31 22:00:00,47.81363366081908,53.36537657827547,50.589505119547276
2019-12-31 23:00:00,57.03652963222652,53.430557360490816,55.233543496358664
